ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
A1,A2,10,0,0,10,0.0,0.0,0.5,0.5,50.0,42.6156,2160.6091
A1,A3,10,0,10,0,0.0,1.0,0.0,1.0,21.5,14.916,2959.3337
A1,B1,10,10,0,0,1.0,0.0,1.0,0.0,10.5,6.0998,3.8387
A1,B2,10,0,10,0,0.0,1.0,0.0,1.0,30.5,24.3361,903.5937
A1,B3,10,5,5,0,0.5,0.5,0.5,0.5,18.0,10.5089,1408.4576
A2,A3,10,0,5,5,0.0,0.5,0.25,0.75,40.5,1725.9169,7503.6125
A2,B2,10,0,5,5,0.0,0.5,0.25,0.75,45.0,2107.8549,1498.1897
A2,B3,10,0,10,0,0.0,1.0,0.0,1.0,26.5,657.2096,2228.6186
A3,B3,10,0,10,0,0.0,1.0,0.0,1.0,23.5,2352.2248,2063.5202
B1,A2,10,0,10,0,0.0,1.0,0.0,1.0,24.5,13.0023,915.6775
B1,A3,10,0,10,0,0.0,1.0,0.0,1.0,10.5,3.2994,546.3876
B1,B2,10,0,10,0,0.0,1.0,0.0,1.0,10.5,3.2951,121.6398
B1,B3,10,0,10,0,0.0,1.0,0.0,1.0,13.5,5.8495,973.8506
B2,A3,10,10,0,0,1.0,0.0,1.0,0.0,33.5,1014.4807,5145.5574
B2,B3,10,5,5,0,0.5,0.5,0.5,0.5,27.0,642.2029,2766.943
